	5-P1	5-P1	5-P1	5-P2	5-P2	5-P2	5-P3	5-P3	5-P3	12-P1	12-P1	12-P1	12-P2	12-P2	12-P2	12-P3	12-P3	12-P3	"Mci Control"	"Mci Control"	"Mci Control"
0	0.011667	0.011667	0.010667	0.015667	0.023667	0.015667	0.014667	0.021667	0.017667	0.023667	0.026667	0.025667	0.032667	0.022667	0.023667	0.011667	0.011667	0.020667	0.025667	0.030667	0.024667
0.166667	0.013333	0.011333	0.012333	0.014333	0.025333	0.016333	0.017333	0.021333	0.016333	0.025333	0.028333	0.024333	0.032333	0.027333	0.026333	0.012333	0.011333	0.021333	0.024333	0.028333	0.022333
0.333333	0.014333	0.014333	0.013333	0.013333	0.024333	0.015333	0.017333	0.021333	0.016333	0.025333	0.023333	0.022333	0.027333	0.025333	0.026333	0.014333	0.013333	0.023333	0.020333	0.025333	0.020333
0.5	0.019333	0.016333	0.017333	0.014333	0.025333	0.016333	0.015333	0.023333	0.017333	0.027333	0.026333	0.021333	0.030333	0.026333	0.026333	0.016333	0.016333	0.029333	0.021333	0.026333	0.022333
0.666667	0.024333	0.020333	0.019333	0.015333	0.027333	0.015333	0.018333	0.021333	0.018333	0.022333	0.023333	0.023333	0.030333	0.025333	0.026333	0.021333	0.018333	0.033333	0.020333	0.027333	0.022333
0.833333	0.025333	0.024333	0.024333	0.019333	0.030333	0.019333	0.017333	0.023333	0.020333	0.027333	0.022333	0.026333	0.035333	0.030333	0.029333	0.027333	0.023333	0.038333	0.023333	0.030333	0.028333
1	0.030333	0.029333	0.029333	0.023333	0.034333	0.022333	0.023333	0.026333	0.023333	0.029333	0.022333	0.021333	0.039333	0.030333	0.032333	0.027333	0.026333	0.042333	0.026333	0.034333	0.032333
1.166667	0.037333	0.035333	0.036333	0.028333	0.040333	0.027333	0.026333	0.030333	0.027333	0.036333	0.027333	0.032333	0.044333	0.038333	0.037333	0.036333	0.037333	0.051333	0.031333	0.039333	0.039333
1.333333	0.045	0.043	0.047	0.035	0.043	0.034	0.029	0.038	0.032	0.036	0.03	0.031	0.053	0.04	0.038	0.043	0.042	0.058	0.038	0.043	0.047
1.5	0.054333	0.052333	0.055333	0.043333	0.047333	0.042333	0.041333	0.046333	0.041333	0.041333	0.036333	0.036333	0.065333	0.049333	0.049333	0.047333	0.047333	0.062333	0.046333	0.060333	0.056333
1.666667	0.065667	0.063667	0.064667	0.055667	0.058667	0.051667	0.044667	0.055667	0.047667	0.048667	0.044667	0.056667	0.086667	0.063667	0.057667	0.053667	0.058667	0.072667	0.069667	0.065667	0.075667
1.833333	0.084333	0.080333	0.082333	0.065333	0.071333	0.064333	0.055333	0.067333	0.058333	0.063333	0.062333	0.062333	0.101333	0.094333	0.083333	0.068333	0.072333	0.083333	0.099333	0.078333	0.094333
2	0.112	0.105	0.115	0.084	0.085	0.08	0.066	0.077	0.07	0.077	0.101	0.084	0.11	0.106	0.117	0.083	0.088	0.098	0.136	0.089	0.115
2.166667	0.142	0.145	0.15	0.113	0.126	0.108	0.085	0.085	0.088	0.111	0.121	0.108	0.144	0.141	0.15	0.098	0.112	0.122	0.183	0.162	0.122
2.333333	0.164	0.173	0.176	0.155	0.153	0.164	0.112	0.116	0.112	0.103	0.129	0.126	0.154	0.159	0.132	0.13	0.127	0.147	0.185	0.199	0.144
2.5	0.178	0.209	0.189	0.183	0.183	0.179	0.15	0.153	0.137	0.125	0.137	0.155	0.182	0.186	0.16	0.187	0.135	0.188	0.207	0.222	0.186
2.666667	0.203333	0.227333	0.213333	0.197333	0.208333	0.211333	0.175333	0.171333	0.149333	0.145333	0.165333	0.173333	0.191333	0.201333	0.167333	0.215333	0.157333	0.214333	0.226333	0.235333	0.211333
2.833333	0.231	0.256	0.237	0.217	0.236	0.246	0.172	0.181	0.168	0.159	0.195	0.191	0.237	0.238	0.21	0.226	0.186	0.25	0.244	0.242	0.23
3	0.244333	0.291333	0.259333	0.250333	0.254333	0.276333	0.201333	0.196333	0.196333	0.189333	0.217333	0.188333	0.246333	0.255333	0.215333	0.264333	0.195333	0.271333	0.247333	0.236333	0.237333
3.166667	0.26	0.345	0.272	0.262	0.276	0.296	0.197	0.223	0.223	0.196	0.212	0.214	0.26	0.248	0.231	0.247	0.237	0.258	0.258	0.257	0.258
3.333333	0.262	0.365	0.307	0.28	0.293	0.292	0.214	0.229	0.23	0.193	0.264	0.222	0.296	0.274	0.239	0.275	0.259	0.282	0.283	0.274	0.281
3.5	0.273333	0.402333	0.328333	0.298333	0.318333	0.310333	0.225333	0.247333	0.245333	0.223333	0.292333	0.231333	0.309333	0.270333	0.254333	0.264333	0.246333	0.300333	0.294333	0.294333	0.295333
3.666667	0.28	0.424	0.343	0.319	0.333	0.368	0.251	0.27	0.277	0.216	0.295	0.243	0.327	0.301	0.281	0.299	0.299	0.326	0.33	0.322	0.327
3.833333	0.286	0.434	0.36	0.346	0.361	0.405	0.29	0.292	0.298	0.238	0.321	0.269	0.355	0.356	0.322	0.338	0.322	0.328	0.359	0.347	0.344
4	0.308333	0.458333	0.394333	0.383333	0.398333	0.436333	0.303333	0.318333	0.310333	0.250333	0.332333	0.298333	0.387333	0.377333	0.381333	0.366333	0.346333	0.380333	0.398333	0.383333	0.380333
4.166667	0.324333	0.495333	0.416333	0.414333	0.432333	0.469333	0.327333	0.350333	0.334333	0.263333	0.385333	0.343333	0.417333	0.398333	0.402333	0.392333	0.389333	0.393333	0.437333	0.409333	0.405333
4.333333	0.338333	0.503333	0.444333	0.438333	0.462333	0.502333	0.354333	0.376333	0.363333	0.291333	0.424333	0.357333	0.445333	0.449333	0.429333	0.415333	0.418333	0.421333	0.470333	0.460333	0.436333
4.5	0.361333	0.537333	0.488333	0.482333	0.492333	0.534333	0.385333	0.408333	0.394333	0.315333	0.456333	0.380333	0.475333	0.482333	0.476333	0.440333	0.436333	0.443333	0.515333	0.517333	0.479333
4.666667	0.401333	0.562333	0.516333	0.511333	0.521333	0.538333	0.412333	0.412333	0.422333	0.328333	0.477333	0.429333	0.524333	0.539333	0.527333	0.476333	0.462333	0.469333	0.586333	0.579333	0.542333
4.833333	0.439	0.618	0.563	0.544	0.555	0.551	0.431	0.439	0.458	0.342	0.53	0.476	0.585	0.599	0.586	0.517	0.502	0.515	0.654	0.626	0.631
5	0.494333	0.676333	0.628333	0.592333	0.619333	0.595333	0.451333	0.478333	0.493333	0.374333	0.568333	0.532333	0.646333	0.646333	0.652333	0.570333	0.543333	0.573333	0.760333	0.676333	0.695333
5.166667	0.526333	0.712333	0.675333	0.643333	0.651333	0.625333	0.476333	0.523333	0.531333	0.392333	0.642333	0.604333	0.714333	0.717333	0.701333	0.617333	0.607333	0.628333	0.802333	0.737333	0.755333
5.333333	0.569	0.785	0.728	0.686	0.702	0.696	0.504	0.584	0.574	0.436	0.69	0.668	0.77	0.765	0.757	0.671	0.659	0.686	0.863	0.788	0.817
5.5	0.605333	0.837333	0.771333	0.736333	0.760333	0.736333	0.533333	0.646333	0.614333	0.500333	0.756333	0.727333	0.833333	0.822333	0.802333	0.741333	0.717333	0.755333	0.919333	0.835333	0.866333
