term	description	gene_count	genes_targeted	guide_count	FDR	contrast
GO:0110165	Cellular anatomical entity	4628	503	1210	4.72832798108439e-20	mouse vs. LB
GO:0009987	Cellular process	3763	499	1209	3.10316165534218e-19	mouse vs. LB
GOCC:0110165	Cellular anatomical entity	3983	469	1126	2.88835292077315e-16	mouse vs. LB
GO:0008152	Metabolic process	2823	444	1087	2.31363691152568e-15	mouse vs. LB
GO:0044237	Cellular metabolic process	2336	430	1049	2.75559018439054e-14	mouse vs. LB
GO:0071704	Organic substance metabolic process	2458	415	998	1.17452550205014e-13	mouse vs. LB
GO:0005622	Intracellular anatomical structure	2143	400	957	1.77261810682312e-13	mouse vs. LB
GO:0110165	Cellular anatomical entity	4628	503	1210	1.93498858962332e-13	mouse vs. INOCULUM
GO:0009987	Cellular process	3763	499	1209	2.8501736120941e-13	mouse vs. INOCULUM
GO:0003824	Catalytic activity	2847	388	999	1.76546564887526e-12	mouse vs. LB
GO:0005737	Cytoplasm	2029	355	906	2.8239451765289e-12	mouse vs. LB
GOCC:0005829	Cytosol	947	221	522	2.51127747056116e-11	mouse vs. LB
GOCC:0005622	Intracellular	2186	386	934	3.02397317440985e-11	mouse vs. LB
GO:0044238	Primary metabolic process	1875	360	846	6.14854502928769e-11	mouse vs. LB
GO:0043170	Macromolecule metabolic process	1049	191	374	7.54099970871885e-11	mouse vs. INOCULUM
GOCC:0110165	Cellular anatomical entity	3983	469	1126	7.54099970871885e-11	mouse vs. INOCULUM
GO:0008152	Metabolic process	2823	444	1087	1.61992434212494e-10	mouse vs. INOCULUM
CL:2706	O-Antigen nucleotide sugar biosynthesis, and phospho-N-acetylmuramoyl-pentapeptide-transferase activity	17	6	19	4.82538850448336e-10	LB vs. INOCULUM
CL:2705	O-Antigen nucleotide sugar biosynthesis, and Lipid A biosynthetic process	27	6	19	4.82538850448336e-10	LB vs. INOCULUM
CL:2703	Lipopolysaccharide biosynthetic process, and UDP-glucuronate metabolic process	38	6	19	4.82538850448336e-10	LB vs. INOCULUM
CL:2702	Lipopolysaccharide biosynthetic process, and Nucleotide-sugar biosynthetic process	46	6	19	4.82538850448336e-10	LB vs. INOCULUM
GO:0044260	Cellular macromolecule metabolic process	544	145	252	5.74688957633897e-10	mouse vs. INOCULUM
GO:0044237	Cellular metabolic process	2336	430	1049	5.74688957633897e-10	mouse vs. INOCULUM
GO:0043170	Macromolecule metabolic process	1049	191	374	6.42078106044162e-10	mouse vs. LB
GO:0071704	Organic substance metabolic process	2458	415	998	1.5480957827e-09	mouse vs. INOCULUM
CL:2730	dTDP-rhamnose metabolic process	5	3	11	3.26791011383609e-09	LB vs. INOCULUM
GO:0005829	Cytosol	726	132	336	5.74490208193845e-09	mouse vs. LB
GO:0006807	Nitrogen compound metabolic process	1775	345	823	5.74490208193845e-09	mouse vs. LB
GOCC:0005737	Cytoplasm	1752	322	817	5.74490208193845e-09	mouse vs. LB
GO:0005622	Intracellular anatomical structure	2143	400	957	5.82143099565459e-09	mouse vs. INOCULUM
GOCC:0005829	Cytosol	947	221	522	6.53292496764368e-09	mouse vs. INOCULUM
GO:0005488	Binding	2339	360	855	1.48886776049246e-08	mouse vs. LB
GO:0044260	Cellular macromolecule metabolic process	544	145	252	1.51507910534103e-08	mouse vs. LB
GO:0009058	Biosynthetic process	1110	334	774	4.03185540826784e-08	mouse vs. LB
GO:1901576	Organic substance biosynthetic process	1059	332	769	5.99662956603259e-08	mouse vs. LB
GO:0034645	Cellular macromolecule biosynthetic process	286	111	168	7.12934393963325e-08	mouse vs. INOCULUM
GO:0044238	Primary metabolic process	1875	360	846	7.23751381163301e-08	mouse vs. INOCULUM
GO:0005737	Cytoplasm	2029	355	906	7.23751381163301e-08	mouse vs. INOCULUM
GO:0003824	Catalytic activity	2847	388	999	7.23751381163301e-08	mouse vs. INOCULUM
GO:0044249	Cellular biosynthetic process	1047	327	761	8.05812535749305e-08	mouse vs. LB
GO:0005829	Cytosol	726	132	336	8.93082200658972e-08	mouse vs. INOCULUM
GO:0009059	Macromolecule biosynthetic process	392	133	214	1.09734187977279e-07	mouse vs. INOCULUM
GO:0034641	Cellular nitrogen compound metabolic process	1098	258	563	1.09801241091892e-07	mouse vs. LB
GO:0071840	Cellular component organization or biogenesis	308	70	162	2.19179863929818e-07	mouse vs. INOCULUM
GOCC:0005622	Intracellular	2186	386	934	2.46392848729074e-07	mouse vs. INOCULUM
GO:0016043	Cellular component organization	250	58	128	3.76513476915996e-07	mouse vs. INOCULUM
CL:126	Translation, and RNA processing	194	107	175	6.39418830225326e-07	mouse vs. INOCULUM
CL:127	Translation, and Protein export	176	103	161	6.49884898294378e-07	mouse vs. INOCULUM
CL:129	Translation, and Protein export	171	102	160	7.55974221276633e-07	mouse vs. INOCULUM
GO:0010467	Gene expression	325	115	209	9.79608582445112e-07	mouse vs. INOCULUM
GO:0006725	Cellular aromatic compound metabolic process	938	202	474	1.08482401708127e-06	mouse vs. LB
CL:2706	O-Antigen nucleotide sugar biosynthesis, and phospho-N-acetylmuramoyl-pentapeptide-transferase activity	17	6	19	1.10420992385402e-06	mouse vs. INOCULUM
CL:2705	O-Antigen nucleotide sugar biosynthesis, and Lipid A biosynthetic process	27	6	19	1.10420992385402e-06	mouse vs. INOCULUM
CL:2703	Lipopolysaccharide biosynthetic process, and UDP-glucuronate metabolic process	38	6	19	1.10420992385402e-06	mouse vs. INOCULUM
CL:2702	Lipopolysaccharide biosynthetic process, and Nucleotide-sugar biosynthetic process	46	6	19	1.10420992385402e-06	mouse vs. INOCULUM
GO:0008610	Lipid biosynthetic process	195	55	130	1.45269003951071e-06	mouse vs. INOCULUM
GO:0006139	Nucleobase-containing compound metabolic process	686	157	339	1.49958987873955e-06	mouse vs. LB
GO:0009059	Macromolecule biosynthetic process	392	133	214	1.58177730915775e-06	mouse vs. LB
GO:0071840	Cellular component organization or biogenesis	308	70	162	1.65655716620774e-06	mouse vs. LB
GO:1901360	Organic cyclic compound metabolic process	953	215	517	1.65655716620774e-06	mouse vs. LB
GO:0034645	Cellular macromolecule biosynthetic process	286	111	168	1.68124245676079e-06	mouse vs. LB
GO:0046474	Glycerophospholipid biosynthetic process	21	4	13	2.11023755819826e-06	LB vs. INOCULUM
GO:0006650	Glycerophospholipid metabolic process	22	4	13	2.11023755819826e-06	LB vs. INOCULUM
GO:0046486	Glycerolipid metabolic process	23	4	13	2.11023755819826e-06	LB vs. INOCULUM
GO:0016043	Cellular component organization	250	58	128	2.13374916651314e-06	mouse vs. LB
GO:0009226	Nucleotide-sugar biosynthetic process	23	8	15	2.54733929766673e-06	LB vs. INOCULUM
GO:0044255	Cellular lipid metabolic process	301	60	142	3.50009028809506e-06	mouse vs. INOCULUM
GO:0046379	Extracellular polysaccharide metabolic process	21	2	8	3.61424068129957e-06	LB vs. INOCULUM
GO:0009103	Lipopolysaccharide biosynthetic process	72	15	32	3.88934477967971e-06	mouse vs. INOCULUM
GO:0008653	Lipopolysaccharide metabolic process	75	15	32	3.88934477967971e-06	mouse vs. INOCULUM
GOCC:0030312	External encapsulating structure	149	10	28	3.88934477967971e-06	mouse vs. INOCULUM
GO:1901135	Carbohydrate derivative metabolic process	354	113	228	4.31933851829218e-06	mouse vs. LB
GO:0090304	Nucleic acid metabolic process	444	89	198	4.31933851829218e-06	mouse vs. LB
KW-0378	Hydrolase	515	53	150	4.31933851829218e-06	mouse vs. LB
GO:0090304	Nucleic acid metabolic process	444	89	198	4.43391474774553e-06	mouse vs. INOCULUM
GO:0034641	Cellular nitrogen compound metabolic process	1098	258	563	4.43391474774553e-06	mouse vs. INOCULUM
CL:130	Translation, and Protein export	159	97	142	4.60310759719459e-06	mouse vs. INOCULUM
GO:0033692	Cellular polysaccharide biosynthetic process	119	17	33	4.60310759719459e-06	mouse vs. INOCULUM
GO:0034637	Cellular carbohydrate biosynthetic process	121	17	33	4.60310759719459e-06	mouse vs. INOCULUM
GO:0000271	Polysaccharide biosynthetic process	122	17	33	4.60310759719459e-06	mouse vs. INOCULUM
GO:0044264	Cellular polysaccharide metabolic process	126	17	33	4.60310759719459e-06	mouse vs. INOCULUM
GO:0005976	Polysaccharide metabolic process	130	17	33	4.60310759719459e-06	mouse vs. INOCULUM
GO:0019538	Protein metabolic process	449	94	150	4.60310759719459e-06	mouse vs. INOCULUM
KW-0378	Hydrolase	515	53	150	4.60310759719459e-06	mouse vs. INOCULUM
GO:0005488	Binding	2339	360	855	4.60310759719459e-06	mouse vs. INOCULUM
GO:0010467	Gene expression	325	115	209	4.61614961162849e-06	mouse vs. LB
KW-0479	Metal-binding	431	121	308	4.61614961162849e-06	mouse vs. LB
GO:0016787	Hydrolase activity	850	78	195	4.61614961162849e-06	mouse vs. LB
GO:0043167	Ion binding	1392	253	613	4.87804805670796e-06	mouse vs. LB
GO:0006807	Nitrogen compound metabolic process	1775	345	823	4.95058213157315e-06	mouse vs. INOCULUM
GO:0044262	Cellular carbohydrate metabolic process	158	21	43	5.33648393650722e-06	mouse vs. INOCULUM
GO:0044085	Cellular component biogenesis	201	55	122	5.45491516326545e-06	mouse vs. INOCULUM
GO:0006629	Lipid metabolic process	358	61	146	5.45491516326545e-06	mouse vs. INOCULUM
GO:0046483	Heterocycle metabolic process	877	207	494	6.26860061545374e-06	mouse vs. LB
CL:129	Translation, and Protein export	171	102	160	6.33337337852017e-06	mouse vs. LB
CL:127	Translation, and Protein export	176	103	161	6.33337337852017e-06	mouse vs. LB
CL:126	Translation, and RNA processing	194	107	175	7.27146103771923e-06	mouse vs. LB
CL:952	Mixed, incl. Peptidoglycan metabolic process, and Lipopolysaccharide biosynthesis	147	65	109	7.68687867755488e-06	mouse vs. LB
GO:0016787	Hydrolase activity	850	78	195	8.66488116304263e-06	mouse vs. INOCULUM
GO:0006518	Peptide metabolic process	185	79	113	8.88917533674087e-06	mouse vs. INOCULUM
GOCC:0030312	External encapsulating structure	149	10	28	8.97458964445625e-06	mouse vs. LB
GO:0016788	Hydrolase activity, acting on ester bonds	265	30	78	8.97458964445625e-06	mouse vs. LB
GO:0019538	Protein metabolic process	449	94	150	8.97458964445625e-06	mouse vs. LB
GO:0140640	Catalytic activity, acting on a nucleic acid	250	64	132	9.88073272211307e-06	mouse vs. INOCULUM
GO:0016788	Hydrolase activity, acting on ester bonds	265	30	78	9.90503060297447e-06	mouse vs. INOCULUM
GOCC:0005737	Cytoplasm	1752	322	817	1.06721444138557e-05	mouse vs. INOCULUM
GO:0009058	Biosynthetic process	1110	334	774	1.11802975937005e-05	mouse vs. INOCULUM
GO:0006260	DNA replication	50	20	44	1.47466119972995e-05	mouse vs. INOCULUM
CL:601	DNA repair, and Chromosome	76	23	54	1.50311002197112e-05	mouse vs. INOCULUM
GO:1901576	Organic substance biosynthetic process	1059	332	769	1.5163529981436e-05	mouse vs. INOCULUM
CL:952	Mixed, incl. Peptidoglycan metabolic process, and Lipopolysaccharide biosynthesis	147	65	109	1.5500823452273e-05	mouse vs. INOCULUM
GO:0046401	Lipopolysaccharide core region metabolic process	21	10	21	1.59361449528876e-05	mouse vs. INOCULUM
GO:0140640	Catalytic activity, acting on a nucleic acid	250	64	132	1.63710837526109e-05	mouse vs. LB
KW-0808	Transferase	691	146	372	1.63710837526109e-05	mouse vs. LB
GO:0003676	Nucleic acid binding	788	107	208	1.68956076067406e-05	mouse vs. INOCULUM
CL:1318	Iron-sulfur cluster assembly	5	4	7	1.94908392081225e-05	LB vs. INOCULUM
GO:0043043	Peptide biosynthetic process	156	78	110	1.9756667592277e-05	mouse vs. INOCULUM
