"Hours post Inoculation"	WT	WT	WT	NTC	NTC	NTC	ispD	ispD	ispD
0.0000000000	0.00725	0.00725	0.02125	0.00625	0.00625	0.00725	0.00625	0.00625	0.01325
0.1666666667	0.00725	0.00725	0.02025	0.00625	0.00625	0.00725	0.00625	0.00625	0.01225
0.3333333333	0.00800	0.00800	0.02200	0.00800	0.00800	0.00900	0.00700	0.00700	0.01400
0.5000000000	0.00975	0.00975	0.02475	0.00975	0.00975	0.01075	0.00875	0.00775	0.01575
0.6666666667	0.01250	0.01250	0.03050	0.01250	0.01250	0.01350	0.00950	0.00950	0.01950
0.8333333333	0.01550	0.01650	0.03750	0.01550	0.01650	0.01650	0.01050	0.01150	0.02450
1.0000000000	0.02050	0.02150	0.04850	0.01950	0.02050	0.02150	0.01450	0.01450	0.03150
1.1666666670	0.02750	0.02750	0.06150	0.02450	0.02550	0.02550	0.01750	0.01750	0.03950
1.3333333330	0.03675	0.03675	0.08175	0.03075	0.03175	0.03275	0.02275	0.02175	0.05175
1.5000000000	0.04775	0.04875	0.12075	0.03975	0.04075	0.04075	0.02775	0.02775	0.06375
1.6666666670	0.06575	0.06575	0.12775	0.04975	0.05075	0.04975	0.03375	0.03575	0.08675
1.8333333330	0.08775	0.08975	0.16975	0.06275	0.06575	0.06275	0.04275	0.04475	0.11575
2.0000000000	0.10575	0.10475	0.19775	0.07975	0.08175	0.07975	0.04875	0.05275	0.13675
2.1666666670	0.13175	0.13275	0.22175	0.10275	0.10375	0.10975	0.06075	0.06075	0.15275
2.3333333330	0.15875	0.16475	0.24875	0.13075	0.13075	0.14075	0.07775	0.07475	0.16375
2.5000000000	0.18675	0.19275	0.26475	0.16075	0.15375	0.15675	0.11675	0.11075	0.18875
2.6666666670	0.20575	0.21275	0.28875	0.18275	0.16975	0.17675	0.13475	0.13075	0.20575
2.8333333330	0.21975	0.23275	0.30775	0.20175	0.19075	0.19375	0.15975	0.14775	0.22175
3.0000000000	0.23975	0.24975	0.32875	0.22275	0.20275	0.20475	0.16075	0.17075	0.22875
3.1666666670	0.26075	0.27075	0.34475	0.24075	0.21375	0.20875	0.20075	0.19875	0.24375
3.3333333330	0.27775	0.29075	0.36675	0.25875	0.23275	0.22075	0.21375	0.20975	0.25975
3.5000000000	0.29775	0.31075	0.39075	0.28375	0.24875	0.23575	0.22875	0.23175	0.28075
3.6666666670	0.32200	0.33400	0.40900	0.30400	0.26300	0.25500	0.24700	0.24800	0.29700
3.8333333330	0.34400	0.35500	0.43000	0.32700	0.28900	0.28400	0.27400	0.27000	0.31800
4.0000000000	0.36900	0.37900	0.46100	0.35200	0.30300	0.30900	0.29400	0.29000	0.34000
4.1666666670	0.39100	0.39700	0.50700	0.37300	0.32300	0.33000	0.31800	0.30900	0.36500
4.3333333330	0.41800	0.42400	0.56800	0.39500	0.34400	0.38000	0.33000	0.33100	0.38500
4.5000000000	0.44200	0.45200	0.62500	0.42500	0.36400	0.37600	0.36500	0.35600	0.41700
4.6666666670	0.48600	0.50000	0.68100	0.46000	0.39100	0.42200	0.38900	0.37800	0.46300
4.8333333330	0.55200	0.56400	0.73600	0.52100	0.43400	0.50400	0.41400	0.40500	0.51300
5.0000000000	0.61900	0.62500	0.78200	0.59500	0.48300	0.56800	0.44300	0.43900	0.57300
5.1666666670	0.67400	0.68700	0.82900	0.66800	0.54100	0.63600	0.49000	0.47000	0.62900
5.3333333330	0.73700	0.73800	0.87600	0.73500	0.60300	0.68200	0.54300	0.52600	0.68200
5.5000000000	0.78200	0.78300	0.91300	0.80200	0.66200	0.76700	0.60100	0.58800	0.73100
5.6666666670	0.83600	0.83700	0.94600	0.85900	0.70900	0.81500	0.65900	0.63000	0.77600
5.8333333330	0.88275	0.87775	0.98075	0.90575	0.75675	0.86975	0.71075	0.68675	0.82375
6.0000000000	0.92400	0.92100	1.01200	0.95800	0.79900	0.91800	0.76400	0.74700	0.86200
6.1666666670	0.96500	0.95400	1.04100	1.00200	0.84100	0.95800	0.81200	0.79700	0.89700
6.3333333330	0.99300	0.98700	1.06700	1.04300	0.88100	1.01400	0.85500	0.84200	0.93500
6.5000000000	1.01400	1.01600	1.09300	1.08200	0.91600	1.02500	0.89500	0.88100	0.96400
6.6666666670	1.04275	1.04275	1.11475	1.11375	0.95275	1.06975	0.93275	0.91875	0.99175
6.8333333330	1.06900	1.06100	1.14200	1.14300	0.97900	1.08800	0.96900	0.95300	1.01900
7.0000000000	1.09600	1.08600	1.17000	1.17300	1.01200	1.11700	1.00100	0.98400	1.05300
7.1666666670	1.12000	1.10700	1.18900	1.19900	1.03500	1.11800	1.03300	1.01300	1.07600
7.3333333330	1.13900	1.13200	1.21300	1.22300	1.06100	1.16500	1.06000	1.04000	1.10200
7.5000000000	1.15400	1.15300	1.23300	1.24600	1.08500	1.18000	1.08800	1.06600	1.12700
7.6666666670	1.17700	1.17200	1.25500	1.26700	1.10400	1.20100	1.11400	1.08900	1.14700
7.8333333330	1.21100	1.19200	1.28000	1.28700	1.13300	1.21800	1.14100	1.11000	1.16600
8.0000000000	1.22300	1.20800	1.30000	1.31800	1.15000	1.23100	1.16100	1.13200	1.19700
8.1666666670	1.24300	1.22900	1.31800	1.32900	1.17200	1.25800	1.18400	1.15500	1.20800
8.3333333330	1.26100	1.25000	1.33600	1.35400	1.19400	1.28400	1.20700	1.17200	1.22400
8.5000000000	1.27875	1.26575	1.34775	1.36475	1.21675	1.29775	1.22775	1.19175	1.24675
8.6666666670	1.29500	1.28000	1.36300	1.37800	1.22800	1.32000	1.24700	1.21500	1.27700
8.8333333330	1.31200	1.30300	1.37900	1.38300	1.23900	1.32400	1.26000	1.23600	1.28600
9.0000000000	1.32750	1.31750	1.39350	1.40050	1.27150	1.34250	1.27950	1.25750	1.30050
9.1666666670	1.36150	1.34350	1.40750	1.42050	1.28750	1.36350	1.29950	1.27050	1.32950
