promoter	guide	count	condition
P1	1_PA5106_Ctrl_60	5452	Mouse_P1_001
P1	2_PA5078_Ctrl_90	1705	Mouse_P1_001
P1	4_PA4305_Ctrl_67	409	Mouse_P1_001
P1	5_PA5523_Ctrl_66	11233	Mouse_P1_001
P1	6_PA1911_Ctrl_29	13193	Mouse_P1_001
P1	7_PA0668_Ctrl_57	7789	Mouse_P1_001
P1	8_PA5200_Ctrl_70	8774	Mouse_P1_001
P1	9_PA5054_Ctrl_83	1089	Mouse_P1_001
P1	10_PA5565_Ctrl_10	2758	Mouse_P1_001
P1	11_PA4323_Ctrl_72	2132	Mouse_P1_001
P1	12_PA4255_Ctrl_61	7363	Mouse_P1_001
P1	13_PA1022_Ctrl_87	1390	Mouse_P1_001
P1	14_PA1384_Ctrl_69	6475	Mouse_P1_001
P1	15_PA0605_Ctrl_32	1409	Mouse_P1_001
P1	16_PA3818_Ctrl_68	1257	Mouse_P1_001
P1	17_PA0253_Ctrl_99	9083	Mouse_P1_001
P1	18_PA2115_Ctrl_86	1843	Mouse_P1_001
P1	19_PA1695_Ctrl_103	592	Mouse_P1_001
P1	20_PA3948_Ctrl_50	6752	Mouse_P1_001
P1	21_PA1882_Ctrl_94	1821	Mouse_P1_001
P1	22_PA2786_Ctrl_14	4427	Mouse_P1_001
P1	23_PA0001_Ctrl_42	4684	Mouse_P1_001
P1	24_PA4037_Ctrl_38	5118	Mouse_P1_001
P1	25_PA2253_Ctrl_9	5490	Mouse_P1_001
P1	26_PA4629_Ctrl_62	10175	Mouse_P1_001
P1	27_PA2011_Ctrl_94	3689	Mouse_P1_001
P1	28_PA1980_Ctrl_98	9590	Mouse_P1_001
P1	29_PA3889_Ctrl_41	4161	Mouse_P1_001
P1	30_PA4114_Ctrl_42	18039	Mouse_P1_001
P1	31_PA1668_Ctrl_24	3692	Mouse_P1_001
P1	32_PA0559_Ctrl_33	1567	Mouse_P1_001
P1	33_PA5458_Ctrl_50	1836	Mouse_P1_001
P1	34_PA1454_Ctrl_110	986	Mouse_P1_001
P1	35_PA2842_Ctrl_159	5044	Mouse_P1_001
P1	36_PA3984_Ctrl_77	14674	Mouse_P1_001
P1	37_PA1538_Ctrl_11	2303	Mouse_P1_001
P1	38_PA3575_Ctrl_2	3752	Mouse_P1_001
P1	39_PA5459_Ctrl_90	31	Mouse_P1_001
P1	40_PA2179_Ctrl_25	1626	Mouse_P1_001
P1	41_PA0363_Ctrl_7	1525	Mouse_P1_001
P1	42_PA2792_Ctrl_84	3380	Mouse_P1_001
P1	43_PA5510_Ctrl_42	1	Mouse_P1_001
P1	44_PA3534_Ctrl_45	6506	Mouse_P1_001
P1	45_PA1786_Ctrl_93	3531	Mouse_P1_001
P1	46_PA1453_Ctrl_73	533	Mouse_P1_001
P1	47_PA2159_Ctrl_46	3423	Mouse_P1_001
P1	49_PA4624_Ctrl_8	8866	Mouse_P1_001
P1	50_PA4793_Ctrl_2	4078	Mouse_P1_001
P1	51_PA2570.1_Ctrl_3	1883	Mouse_P1_001
P1	52_PA2082_Ctrl_92	3305	Mouse_P1_001
P1	53_PA2129_Ctrl_118	1863	Mouse_P1_001
P1	54_PA4374_Ctrl_87	5997	Mouse_P1_001
P1	55_PA1221_Ctrl_42	3935	Mouse_P1_001
P1	56_PA1401_Ctrl_49	13575	Mouse_P1_001
P1	57_PA2564_Ctrl_112	27192	Mouse_P1_001
P1	58_PA2185_Ctrl_113	3040	Mouse_P1_001
P1	59_PA2060_Ctrl_8	8515	Mouse_P1_001
P1	60_PA4881_Ctrl_113	2360	Mouse_P1_001
P1	61_PA3232_Ctrl_52	3937	Mouse_P1_001
P1	62_PA2198_Ctrl_129	2755	Mouse_P1_001
P1	63_PA0167_Ctrl_87	144	Mouse_P1_001
P1	65_PA0698_Ctrl_50	1277	Mouse_P1_001
P1	66_PA0605_Ctrl_8	25013	Mouse_P1_001
P1	67_PA2660_Ctrl_7	2389	Mouse_P1_001
P1	68_PA4911_Ctrl_40	3345	Mouse_P1_001
P1	69_PA5153_Ctrl_95	5262	Mouse_P1_001
P1	70_PA0906_Ctrl_120	410	Mouse_P1_001
P1	71_PA5446_Ctrl_102	18185	Mouse_P1_001
P1	72_PA1068_Ctrl_46	6676	Mouse_P1_001
P1	73_PA2502_Ctrl_72	4480	Mouse_P1_001
P1	74_PA3025_Ctrl_44	2280	Mouse_P1_001
P1	75_PA5539_Ctrl_89	7985	Mouse_P1_001
P1	76_PA3424_Ctrl_72	3266	Mouse_P1_001
P1	77_PA1664_Ctrl_38	2041	Mouse_P1_001
P1	78_PA2189_Ctrl_32	9628	Mouse_P1_001
P1	79_PA0012_Ctrl_99	1729	Mouse_P1_001
P1	80_PA0875_Ctrl_68	1154	Mouse_P1_001
P1	81_PA0967_Ctrl_92	3276	Mouse_P1_001
P1	82_PA0429_Ctrl_6	6537	Mouse_P1_001
P1	83_PA2799_Ctrl_74	1076	Mouse_P1_001
P1	84_PA5568_Ctrl_89	10784	Mouse_P1_001
P1	85_PA3413_Ctrl_71	5736	Mouse_P1_001
P1	86_PA1210_Ctrl_39	3456	Mouse_P1_001
P1	87_PA1041_Ctrl_88	990	Mouse_P1_001
P1	88_PA1642_Ctrl_1	4295	Mouse_P1_001
P1	90_PA1111_Ctrl_63	2582	Mouse_P1_001
P1	91_PA0491_Ctrl_7	2850	Mouse_P1_001
P1	93_PA5562_Ctrl_42	5844	Mouse_P1_001
P1	94_PA0129_Ctrl_59	2593	Mouse_P1_001
P1	95_PA4086_Ctrl_52	3863	Mouse_P1_001
P1	96_PA3720_Ctrl_81	8865	Mouse_P1_001
P1	97_PA4454_Ctrl_108	8940	Mouse_P1_001
P1	98_PA2910_Ctrl_78	790	Mouse_P1_001
P1	99_PA4103_Ctrl_29	4592	Mouse_P1_001
P1	100_PA1582_Ctrl_35	1557	Mouse_P1_001
P1	101_PA3928_Ctrl_42	7136	Mouse_P1_001
P1	102_PA1956_Ctrl_57	16675	Mouse_P1_001
P1	103_PA5373_Ctrl_6	4613	Mouse_P1_001
P1	104_PA5040_Ctrl_104	1	Mouse_P1_001
P1	105_PA0282_Ctrl_18	3170	Mouse_P1_001
P1	106_PA3180_Ctrl_88	6614	Mouse_P1_001
P1	107_PA1884_Ctrl_63	394	Mouse_P1_001
P1	108_PA4220_Ctrl_5	3127	Mouse_P1_001
P1	109_PA3410_Ctrl_87	4832	Mouse_P1_001
P1	110_PA0004_Ctrl_62	5123	Mouse_P1_001
P1	111_PA2356_Ctrl_19	932	Mouse_P1_001
P1	112_PA3734_Ctrl_55	9334	Mouse_P1_001
P1	113_PA1811_Ctrl_84	3600	Mouse_P1_001
P1	114_PA4961_Ctrl_86	1888	Mouse_P1_001
P1	115_PA2212_Ctrl_53	2016	Mouse_P1_001
P1	116_PA0572_Ctrl_7	1710	Mouse_P1_001
P1	117_PA0014_Ctrl_25	2864	Mouse_P1_001
P1	118_PA0712_Ctrl_39	10273	Mouse_P1_001
P1	119_PA1949_Ctrl_142	245	Mouse_P1_001
P1	120_PA5032_Ctrl_9	2357	Mouse_P1_001
P1	121_PA1727_Ctrl_66	489	Mouse_P1_001
P1	122_PA4265_Ctrl_1179	3875	Mouse_P1_001
P1	123_PA5062_Ctrl_48	4016	Mouse_P1_001
P1	124_PA0197_Ctrl_66	900	Mouse_P1_001
P1	125_PA2846_Ctrl_59	1200	Mouse_P1_001
P1	126_PA4282_Ctrl_92	20629	Mouse_P1_001
P1	127_PA0767_Ctrl_2	2084	Mouse_P1_001
P1	128_PA2799_Ctrl_48	5888	Mouse_P1_001
P1	129_PA5227.1_Ctrl_68	4032	Mouse_P1_001
P1	130_PA2389_Ctrl_116	1440	Mouse_P1_001
P1	131_PA4502_Ctrl_65	1734	Mouse_P1_001
P1	132_PA4822_Ctrl_12	3263	Mouse_P1_001
P1	133_PA3328_Ctrl_59	87	Mouse_P1_001
P1	134_PA5283_Ctrl_78	2095	Mouse_P1_001
P1	135_PA1285_Ctrl_38	17	Mouse_P1_001
P1	136_PA0731_Ctrl_5	3438	Mouse_P1_001
P1	137_PA0324_Ctrl_118	6861	Mouse_P1_001
P1	138_PA5155_Ctrl_24	6679	Mouse_P1_001
P1	139_PA5536_Ctrl_152	2620	Mouse_P1_001
P1	140_PA0857_Ctrl_104	7571	Mouse_P1_001
P1	141_PA1657_Ctrl_2	3494	Mouse_P1_001
P1	142_PA5083_Ctrl_8	381	Mouse_P1_001
P1	143_PA4432_Ctrl_165	571	Mouse_P1_001
P1	144_PA1671_Ctrl_37	1782	Mouse_P1_001
P1	145_PA4735_Ctrl_36	4246	Mouse_P1_001
P1	146_PA2535_Ctrl_11	2477	Mouse_P1_001
P1	147_PA5309_Ctrl_62	334	Mouse_P1_001
P1	148_PA1541_Ctrl_124	5905	Mouse_P1_001
P1	149_PA5287_Ctrl_53	1386	Mouse_P1_001
P1	150_PA2377_Ctrl_24	3	Mouse_P1_001
P1	151_PA3381_Ctrl_7	3331	Mouse_P1_001
P1	152_PA0047_Ctrl_38	289	Mouse_P1_001
P1	153_PA5437_Ctrl_59	9390	Mouse_P1_001
P1	154_PA4406.1_Ctrl_24	4115	Mouse_P1_001
P1	155_PA5256_Ctrl_79	8010	Mouse_P1_001
P1	156_PA1764_Ctrl_93	1342	Mouse_P1_001
P1	157_PA1586_Ctrl_47	2773	Mouse_P1_001
P1	158_PA2107_Ctrl_57	4603	Mouse_P1_001
P1	159_PA1921_Ctrl_100	2915	Mouse_P1_001
P1	160_PA2969_Ctrl_48	3546	Mouse_P1_001
P1	161_PA1179_Ctrl_156	114	Mouse_P1_001
P1	162_PA0993_Ctrl_13	1511	Mouse_P1_001
P1	163_PA0463_Ctrl_2	2753	Mouse_P1_001
P1	164_PA5217_Ctrl_63	6722	Mouse_P1_001
P1	165_PA2979_Ctrl_56	1682	Mouse_P1_001
P1	166_PA3220_Ctrl_51	6368	Mouse_P1_001
P1	167_PA0994_Ctrl_41	986	Mouse_P1_001
P1	168_PA0284_Ctrl_42	8968	Mouse_P1_001
P1	169_PA5105_Ctrl_56	2344	Mouse_P1_001
P1	170_PA1505_Ctrl_57	985	Mouse_P1_001
P1	171_PA1875_Ctrl_138	6566	Mouse_P1_001
P1	172_PA2799_Ctrl_1	11597	Mouse_P1_001
P1	173_PA5003_Ctrl_103	1677	Mouse_P1_001
P1	174_PA3156_Ctrl_178	3290	Mouse_P1_001
P1	175_PA5392_Ctrl_5	3877	Mouse_P1_001
P1	176_PA2557_Ctrl_11	370	Mouse_P1_001
P1	177_PA2736.1_Ctrl_71	900	Mouse_P1_001
P1	178_PA5366_Ctrl_18	7	Mouse_P1_001
P1	179_PA1730_Ctrl_51	2799	Mouse_P1_001
P1	180_PA4491_Ctrl_72	3327	Mouse_P1_001
P1	181_PA2173_Ctrl_32	9592	Mouse_P1_001
P1	182_PA0060_Ctrl_11	4158	Mouse_P1_001
P1	183_PA2333_Ctrl_11	6541	Mouse_P1_001
P1	184_PA1697_Ctrl_5	1706	Mouse_P1_001
P1	185_PA3189_Ctrl_86	1611	Mouse_P1_001
P1	186_PA4649_Ctrl_9	28510	Mouse_P1_001
P1	187_PA3096_Ctrl_187	1608	Mouse_P1_001
P1	188_PA3349_Ctrl_76	4830	Mouse_P1_001
P1	189_PA0781_Ctrl_27	684	Mouse_P1_001
P1	190_PA5342_Ctrl_9	5689	Mouse_P1_001
P1	191_PA0801_Ctrl_26	3469	Mouse_P1_001
P1	192_PA3430_Ctrl_132	7480	Mouse_P1_001
P1	193_PA3902_Ctrl_15	1559	Mouse_P1_001
P1	194_PA4703_Ctrl_44	3713	Mouse_P1_001
P1	195_PA3406_Ctrl_192	919	Mouse_P1_001
P1	196_PA4330_Ctrl_52	30895	Mouse_P1_001
P1	197_PA1146_Ctrl_100	994	Mouse_P1_001
P1	198_PA0887_Ctrl_24	2613	Mouse_P1_001
P1	199_PA3057_Ctrl_21	3060	Mouse_P1_001
P1	200_PA5125_Ctrl_113	3993	Mouse_P1_001
P1	201_PA3758_Ctrl_103	668	Mouse_P1_001
P1	202_PA5074_Ctrl_19	1033	Mouse_P1_001
P1	203_PA0140_Ctrl_57	2733	Mouse_P1_001
P1	204_PA0929_Ctrl_55	5056	Mouse_P1_001
P1	205_PA2747a_Ctrl_6	3205	Mouse_P1_001
P1	206_PA3136_Ctrl_60	3151	Mouse_P1_001
P1	207_PA2345_Ctrl_85	3901	Mouse_P1_001
P1	208_PA3203_Ctrl_42	1830	Mouse_P1_001
P1	209_PA2168_Ctrl_27	1503	Mouse_P1_001
P1	210_PA3572_Ctrl_66	2545	Mouse_P1_001
P1	211_PA2815_Ctrl_48	1546	Mouse_P1_001
P1	212_PA3456_Ctrl_2	3342	Mouse_P1_001
P1	213_PA1773_Ctrl_36	1565	Mouse_P1_001
P1	214_PA3020_Ctrl_69	4029	Mouse_P1_001
P1	215_PA2829_Ctrl_73	12871	Mouse_P1_001
P1	216_PA0475_Ctrl_7	2711	Mouse_P1_001
P1	217_PA4326_Ctrl_99	6817	Mouse_P1_001
P1	218_PA1507_Ctrl_28	157	Mouse_P1_001
P1	219_PA1170_Ctrl_39	5933	Mouse_P1_001
P1	220_PA3350_Ctrl_42	815	Mouse_P1_001
P1	221_PA3845_Ctrl_53	3595	Mouse_P1_001
P1	223_PA0191_Ctrl_34	198	Mouse_P1_001
P1	224_PA1754_Ctrl_94	3668	Mouse_P1_001
P1	225_PA3940_Ctrl_41	764	Mouse_P1_001
P1	226_PA1708_Ctrl_37	118	Mouse_P1_001
P1	227_PA2977_Ctrl_70	2301	Mouse_P1_001
P1	228_PA2110_Ctrl_16	1184	Mouse_P1_001
P1	229_PA2588_Ctrl_24	878	Mouse_P1_001
P1	230_PA4982_Ctrl_34	10602	Mouse_P1_001
P1	231_PA2192_Ctrl_41	3452	Mouse_P1_001
P1	232_PA1074_Ctrl_48	310	Mouse_P1_001
P1	233_PA0938_Ctrl_107	1101	Mouse_P1_001
P1	234_PA4044_Ctrl_28	2564	Mouse_P1_001
P1	235_PA5187_Ctrl_237	3034	Mouse_P1_001
P1	236_PA5547_Ctrl_50	7054	Mouse_P1_001
P1	237_PA0102_Ctrl_90	13769	Mouse_P1_001
P1	238_PA3335_Ctrl_73	7318	Mouse_P1_001
P1	239_PA3231_Ctrl_95	61	Mouse_P1_001
P1	240_PA4056_Ctrl_30	973	Mouse_P1_001
P1	241_PA5481_Ctrl_19	4653	Mouse_P1_001
P1	242_PA5347_Ctrl_45	2931	Mouse_P1_001
P1	243_PA2033_Ctrl_104	3765	Mouse_P1_001
P1	244_PA4196_Ctrl_11	3315	Mouse_P1_001
P1	245_PA4733_Ctrl_45	4175	Mouse_P1_001
P1	246_PA4364_Ctrl_29	4051	Mouse_P1_001
P1	247_PA2370_Ctrl_61	2502	Mouse_P1_001
P1	248_PA1636_Ctrl_63	313	Mouse_P1_001
P1	249_PA2905_Ctrl_63	1651	Mouse_P1_001
P1	250_PA1704_Ctrl_11	5946	Mouse_P1_001
P1	251_PA4711_Ctrl_81	532	Mouse_P1_001
P1	252_PA0259_Ctrl_79	2313	Mouse_P1_001
P1	253_PA4696_Ctrl_76	11873	Mouse_P1_001
P1	254_PA0466_Ctrl_66	8650	Mouse_P1_001
P1	255_PA3065_Ctrl_34	1133	Mouse_P1_001
P1	256_PA3563_Ctrl_122	3202	Mouse_P1_001
P1	257_PA1012_Ctrl_33	4438	Mouse_P1_001
P1	258_PA3176_Ctrl_90	3089	Mouse_P1_001
P1	259_PA3463_Ctrl_98	4715	Mouse_P1_001
P1	260_PA0143_Ctrl_42	2162	Mouse_P1_001
P1	261_PA2350_Ctrl_61	9607	Mouse_P1_001
P1	262_PA4182_Ctrl_32	566	Mouse_P1_001
P1	263_PA4394_Ctrl_127	1759	Mouse_P1_001
P1	264_PA0724_Ctrl_103	5550	Mouse_P1_001
P1	265_PA1651_Ctrl_6	777	Mouse_P1_001
P1	266_PA4586_Ctrl_2	3698	Mouse_P1_001
P1	267_PA5002_Ctrl_127	2748	Mouse_P1_001
P1	268_PA2520_Ctrl_153	3132	Mouse_P1_001
P1	269_PA5264_Ctrl_195	1474	Mouse_P1_001
P1	270_PA5386_Ctrl_6	2713	Mouse_P1_001
P1	271_PA1305_Ctrl_86	1533	Mouse_P1_001
P1	272_PA4758.1_Ctrl_106	7176	Mouse_P1_001
P1	273_PA3561_Ctrl_13	1485	Mouse_P1_001
P1	274_PA3767_Ctrl_86	2895	Mouse_P1_001
P1	275_PA0739_Ctrl_112	7007	Mouse_P1_001
P1	276_PA4184_Ctrl_117	3408	Mouse_P1_001
P1	277_PA1297_Ctrl_69	4531	Mouse_P1_001
P1	278_PA4720_Ctrl_9	3619	Mouse_P1_001
