PA14_ID	old locus tag	locus tag	Gene Name
PA14_00010	PA14_00010	PA14_RS00005	dnaA
PA14_00020	PA14_00020	PA14_RS00010	dnaN
PA14_00050	PA14_00050	PA14_RS00020	gyrB
PA14_00060	PA14_00060	PA14_RS00025	plsC
PA14_00070	PA14_00070	PA14_RS00030	gmhB
PA14_00090	PA14_00090	PA14_RS00040	glyS
PA14_00100	PA14_00100	PA14_RS00045	glyQ
PA14_00190	PA14_00190	PA14_RS00090	fmt
PA14_00200	PA14_00200	PA14_RS00095	def
PA14_00240	PA14_00240	PA14_RS00110	tsaC
PA14_00280	PA14_00280	PA14_RS00120	hemF
PA14_00290	PA14_00290	PA14_RS00125	aroE
PA14_00440	PA14_00440	PA14_RS00180	trpA
PA14_00450	PA14_00450	PA14_RS00185	trpB
PA14_04110	PA14_04110	PA14_RS01685	serA
PA14_04310	PA14_04310	PA14_RS01755	rpiA
PA14_04380	PA14_04380	PA14_RS01785	-
PA14_04460	PA14_04460	PA14_RS01815	lgt
PA14_04480	PA14_04480	PA14_RS01820	thyA
PA14_04580	PA14_04580	PA14_RS01860	folA
PA14_04630	PA14_04630	PA14_RS01875	ilvD
PA14_04750	PA14_04750	PA14_RS01925	fdx1
PA14_04760	PA14_04760	PA14_RS01930	coaD
PA14_04900	PA14_04900	PA14_RS01985	ftsY
PA14_04930	PA14_04930	PA14_RS02000	rpoH
PA14_04980	PA14_04980	PA14_RS02025	thiG
PA14_05070	PA14_05070	PA14_RS02065	metW
PA14_05080	PA14_05080	PA14_RS02070	metX
PA14_05150	PA14_05150	PA14_RS02090	proC
PA14_05250	PA14_05250	PA14_RS02130	pyrC
PA14_05260	PA14_05260	PA14_RS02135	pyrB
PA14_05280	PA14_05280	PA14_RS02145	yqgF
PA14_05460	PA14_05460	PA14_RS02225	bioA
PA14_05550	PA14_05550	PA14_RS02260	oprM
PA14_05590	PA14_05590	PA14_RS02275	metF
PA14_05620	PA14_05620	PA14_RS02285	sahH
PA14_06500	PA14_06500	PA14_RS02615	bioB
PA14_06510	PA14_06510	PA14_RS02620	bioF
PA14_06540	PA14_06540	PA14_RS02630	bioC
PA14_06570	PA14_06570	PA14_RS02635	bioD
PA14_07090	PA14_07090	PA14_RS02850	metK
PA14_07130	PA14_07130	PA14_RS02860	tktA
PA14_07170	PA14_07170	PA14_RS02875	epd
PA14_07190	PA14_07190	PA14_RS02880	pgk
PA14_07230	PA14_07230	PA14_RS02895	fda
PA14_07520	PA14_07520	PA14_RS03010	rpoD
PA14_07530	PA14_07530	PA14_RS03015	dnaG
PA14_07560	PA14_07560	PA14_RS03025	rpsU
PA14_07570	PA14_07570	PA14_RS03030	gcp
PA14_07590	PA14_07590	PA14_RS03040	folB
PA14_07620	PA14_07620	PA14_RS03050	cca
PA14_07740	PA14_07740	PA14_RS03095	pdxA
PA14_07760	PA14_07760	PA14_RS03100	surA
PA14_07770	PA14_07770	PA14_RS03105	ostA
PA14_07910	PA14_07910	PA14_RS03165	rpe
PA14_07940	PA14_07940	PA14_RS03175	trpE
PA14_08350	PA14_08350	PA14_RS03355	trpD
PA14_08360	PA14_08360	PA14_RS03360	trpC
PA14_08400	PA14_08400	PA14_RS03380	COQ7
PA14_08470	PA14_08470	PA14_RS03410	hemJ
PA14_08480	PA14_08480	PA14_RS03415	argC
PA14_08510	PA14_08510	PA14_RS03430	yadR
PA14_08620	PA14_08620	PA14_RS03475	birA
PA14_08630	PA14_08630	PA14_RS03480	coaX
PA14_08710	PA14_08710	PA14_RS03520	nusG
PA14_08720	PA14_08720	PA14_RS03525	rplK
PA14_08730	PA14_08730	PA14_RS03530	rplA
PA14_08740	PA14_08740	PA14_RS03535	rplJ
PA14_08760	PA14_08760	PA14_RS03545	rpoB
PA14_08780	PA14_08780	PA14_RS03550	rpoC
PA14_08790	PA14_08790	PA14_RS03555	rpsL
PA14_08810	PA14_08810	PA14_RS03560	rpsG
PA14_08820	PA14_08820	PA14_RS03565	fusA1
PA14_08840	PA14_08840	PA14_RS03575	rpsJ
PA14_08850	PA14_08850	PA14_RS03580	rplC
PA14_08860	PA14_08860	PA14_RS03585	rplD
PA14_08870	PA14_08870	PA14_RS03590	rplW
PA14_08880	PA14_08880	PA14_RS03595	rplB
PA14_08890	PA14_08890	PA14_RS03600	rpsS
PA14_08910	PA14_08910	PA14_RS03610	rpsC
PA14_08920	PA14_08920	PA14_RS03615	rplP
PA14_08940	PA14_08940	PA14_RS03625	rpsQ
PA14_08950	PA14_08950	PA14_RS03630	rplN
PA14_08960	PA14_08960	PA14_RS03635	rplX
PA14_08970	PA14_08970	PA14_RS03640	rplE
PA14_08980	PA14_08980	PA14_RS03645	rpsN
PA14_08990	PA14_08990	PA14_RS03650	rpsH
