	WT	WT	WT	"aRFP control"	"aRFP control"	"aRFP control"	ispD	ispD	ispD	ispG	ispG	ispG
0	0.00725	0.00725	0.02125	0.00625	0.00625	0.00725	0.00625	0.00625	0.01325	0.00625	0.00625	0.00525
0.166667	0.00725	0.00725	0.02025	0.00625	0.00625	0.00725	0.00625	0.00625	0.01225	0.00625	0.00625	0.00525
0.333333	0.008	0.008	0.022	0.008	0.008	0.009	0.007	0.007	0.014	0.007	0.008	0.007
0.5	0.00975	0.00975	0.02475	0.00975	0.00975	0.01075	0.00875	0.00775	0.01575	0.00875	0.00875	0.00775
0.666667	0.0125	0.0125	0.0305	0.0125	0.0125	0.0135	0.0095	0.0095	0.0195	0.0095	0.0105	0.0085
0.833333	0.0155	0.0165	0.0375	0.0155	0.0165	0.0165	0.0105	0.0115	0.0245	0.0115	0.0115	0.0105
1	0.0205	0.0215	0.0485	0.0195	0.0205	0.0215	0.0145	0.0145	0.0315	0.0135	0.0135	0.0125
1.166667	0.0275	0.0275	0.0615	0.0245	0.0255	0.0255	0.0175	0.0175	0.0395	0.0165	0.0165	0.0155
1.333333	0.03675	0.03675	0.08175	0.03075	0.03175	0.03275	0.02275	0.02175	0.05175	0.02075	0.02075	0.01975
1.5	0.04775	0.04875	0.12075	0.03975	0.04075	0.04075	0.02775	0.02775	0.06375	0.02475	0.02475	0.02375
1.666667	0.06575	0.06575	0.12775	0.04975	0.05075	0.04975	0.03375	0.03575	0.08675	0.02975	0.03075	0.02875
1.833333	0.08775	0.08975	0.16975	0.06275	0.06575	0.06275	0.04275	0.04475	0.11575	0.03675	0.03675	0.03575
2	0.10575	0.10475	0.19775	0.07975	0.08175	0.07975	0.04875	0.05275	0.13675	0.04375	0.04475	0.04275
2.166667	0.13175	0.13275	0.22175	0.10275	0.10375	0.10975	0.06075	0.06075	0.15275	0.05275	0.05275	0.05175
2.333333	0.15875	0.16475	0.24875	0.13075	0.13075	0.14075	0.07775	0.07475	0.16375	0.06275	0.06475	0.06275
2.5	0.18675	0.19275	0.26475	0.16075	0.15375	0.15675	0.11675	0.11075	0.18875	0.07675	0.07875	0.07975
2.666667	0.20575	0.21275	0.28875	0.18275	0.16975	0.17675	0.13475	0.13075	0.20575	0.09675	0.10475	0.11175
2.833333	0.21975	0.23275	0.30775	0.20175	0.19075	0.19375	0.15975	0.14775	0.22175	0.12175	0.13275	0.13575
3	0.23975	0.24975	0.32875	0.22275	0.20275	0.20475	0.16075	0.17075	0.22875	0.15375	0.15675	0.14875
3.166667	0.26075	0.27075	0.34475	0.24075	0.21375	0.20875	0.20075	0.19875	0.24375	0.16775	0.17875	0.15475
3.333333	0.27775	0.29075	0.36675	0.25875	0.23275	0.22075	0.21375	0.20975	0.25975	0.18375	0.19475	0.17275
3.5	0.29775	0.31075	0.39075	0.28375	0.24875	0.23575	0.22875	0.23175	0.28075	0.19575	0.20475	0.18775
3.666667	0.322	0.334	0.409	0.304	0.263	0.255	0.247	0.248	0.297	0.209	0.22	0.201
3.833333	0.344	0.355	0.43	0.327	0.289	0.284	0.274	0.27	0.318	0.222	0.226	0.211
4	0.369	0.379	0.461	0.352	0.303	0.309	0.294	0.29	0.34	0.236	0.243	0.232
