Geneid	Pre1	Pre2	Mice_noDox_1	Mice_noDox_2	Mice_noDox_3	Mice_noDox_4	Mice_noDox_5	Mice_noDox_6	Mice_noDox_7	Mice_noDox_8	Mice_noDox_9	Mice_noDox_10	Mice_noDox_11	Mice_plusDox_1	Mice_plusDox_2	Mice_plusDox_3	Mice_plusDox_4	Mice_plusDox_5	Mice_plusDox_6	Mice_plusDox_7	Mice_plusDox_8	Mice_plusDox_9	Mice_plusDox_10
sgRNA001	1171	1293	582	532	633	647	860	680	454	1114	626	662	718	7	1	1	0	4	4	1	7	1	6
sgRNA002	930	881	413	350	528	478	601	531	246	678	701	421	589	103	51	102	62	125	169	118	155	73	141
sgRNA003	1173	1196	558	628	582	650	862	676	368	813	494	664	800	31	0	22	17	22	40	19	22	10	21
sgRNA004	1610	1610	681	640	694	1020	1225	882	435	1202	1140	861	959	16	4	19	17	43	42	25	20	18	8
sgRNA005	1039	1030	484	580	455	571	665	607	320	585	490	635	679	1	0	0	0	4	0	5	3	2	2
sgRNA006	1209	1185	504	497	731	674	801	683	2655	862	1029	605	794	777	1986	824	1024	1545	1156	1155	1266	764	1216
sgRNA007	1085	1073	507	527	520	594	845	591	271	926	832	663	623	286	101	129	286	580	300	435	418	186	410
sgRNA008	1043	1021	510	401	636	633	712	577	379	1036	202	506	677	536	696	572	344	683	545	482	524	345	605
sgRNA009	1238	1312	628	626	624	619	905	727	502	923	910	681	753	404	797	225	246	462	384	261	581	250	674
sgRNA010	1320	1282	597	563	552	699	915	750	450	957	1176	714	868	843	506	597	848	1245	584	947	904	703	1000
sgRNA011	1239	1276	554	544	722	674	902	706	439	1021	1629	721	703	507	1757	677	888	1440	4626	1000	1033	653	1285
sgRNA012	976	929	374	476	437	550	694	552	427	788	516	512	563	0	0	0	1	2	0	0	5	0	0
sgRNA013	1309	1318	494	678	583	714	780	791	466	1045	828	679	760	808	1394	774	1014	1625	1642	1216	1210	989	1475
sgRNA014	1181	1153	493	495	572	633	875	626	424	999	269	633	659	1007	1981	1048	911	1236	1095	1128	1052	717	1114
sgRNA015	1115	1146	518	580	574	610	782	626	361	765	438	734	843	805	1545	907	898	1352	1414	1010	924	3324	1166
sgRNA016	1341	1445	595	615	777	927	1199	788	431	1322	456	831	992	1094	1099	751	1282	1682	2153	1171	1227	815	1468
sgRNA017	1098	1056	539	563	526	622	834	603	288	823	1048	646	866	900	634	516	784	1279	1024	1119	966	623	1025
sgRNA018	1041	991	507	432	459	582	720	591	336	596	802	625	684	763	1411	742	452	814	1264	655	859	615	671
sgRNA019	1006	999	471	528	466	570	667	522	345	749	718	538	447	800	348	322	570	978	747	889	1019	1400	838
sgRNA020	1117	1136	555	517	681	696	826	687	426	742	472	599	734	0	0	0	0	2	0	0	5	2	0
sgRNA021	1051	1049	494	482	426	696	776	680	372	744	849	616	641	361	229	84	485	1009	403	719	586	480	640
sgRNA022	1250	1175	658	518	717	638	870	682	609	1265	848	704	934	910	6740	2196	825	1255	6506	1207	1214	932	1208
sgRNA023	1185	1211	522	574	587	740	892	677	1686	961	706	682	871	1000	252	948	921	1404	776	938	898	757	1181
sgRNA024	1195	1246	607	528	678	738	971	664	521	869	458	656	949	932	1830	699	1044	1555	1473	1046	1045	679	1461
