condition	reads	matched
dJMP1	6315150	6011918
dJMP2	5051042	4806605
dJMP3	5222483	4968642
dJMP4	6417855	6109586
dJMP5	5222018	4976334
Mouse_P1_001	9499955	8046177
Mouse_P1_002	12486344	9701556
Mouse_P1_003	9049519	7858749
Mouse_P1_004	23498144	20924243
Mouse_P1_005	38108	22444
Mouse_P1_006	24688109	21627314
Mouse_P1_007	9368553	6944140
Mouse_P1_008	35297002	12796964
Mouse_P1_015	14823118	13570395
Mouse_P1_016	46688499	42153183
Mouse_P1_017	19288913	17595855
Mouse_P1_018	37563192	34062219
Mouse_P1_019	18867823	17557910
Mouse_P1_020	12655	10737
Mouse_P1_021	11489636	10495961
Mouse_P1_022	10544967	9824367
P1_mfdpir	3608968	2725733
P1_PA14	2421808	1634802
P2_mfdpir	4777461	1507062
P2_PA14	1767412	1287246
P3_mfdpir	3268319	2394235
P3_PA14	1905974	1398825
