locus_tag,syn1,syn2
PA14_00010,dnaA,dnaA
PA14_00020,dnaN,dnaN
PA14_00050,gyrB,gyrB
PA14_00060,,lptA
PA14_00070,,
PA14_00090,glyS,glyS
PA14_00100,glyQ,glyQ
PA14_00190,fmt,fmt
PA14_00200,def,def
PA14_00240,,
PA14_00280,hemF,hemF
PA14_00290,aroE,aroE
PA14_00440,trpA,trpA
PA14_00450,trpB,trpB
PA14_04110,serA,serA
PA14_04310,rpiA,rpiA
PA14_04380,,
PA14_04460,lgt,lgt
PA14_04480,thyA,thyA
PA14_04580,folA,folA
PA14_04630,ilvD,ilvD
PA14_04750,fdx1,fdx1
PA14_04760,coaD,coaD
PA14_04900,ftsY,ftsY
PA14_04930,rpoH,rpoH
PA14_04980,thiG,thiG
PA14_05070,,
PA14_05080,metX,metX
PA14_05150,proC,proC
PA14_05250,pyrC,
PA14_05260,pyrB,pyrB
PA14_05280,yqgF,
PA14_05460,bioA,bioA
PA14_05550,oprM,oprM
PA14_05590,metF,metF
PA14_05620,sahH,sahH
PA14_06500,bioB,bioB
PA14_06510,bioF,bioF
PA14_06540,,
PA14_06570,bioD,bioD
PA14_07090,metK,metK
PA14_07130,tktA,tktA
PA14_07170,epd,epd
PA14_07190,pgk,pgk
PA14_07230,fda,fda
PA14_07520,rpoD,rpoD
PA14_07530,dnaG,dnaG
PA14_07560,rpsU,rpsU
PA14_07570,gcp,gcp
PA14_07590,folB,folB
PA14_07620,cca,cca
PA14_07740,pdxA,pdxA
PA14_07760,surA,surA
PA14_07770,ostA,lptD
PA14_07910,rpe,rpe
PA14_07940,trpE,trpE
PA14_08350,trpD,trpD
PA14_08360,trpC,trpC
PA14_08400,,
PA14_08470,,
PA14_08480,argC,argC
PA14_08510,,
PA14_08620,birA,birA
PA14_08630,,
PA14_08710,nusG,nusG
PA14_08720,rplK,rplK
PA14_08730,rplA,rplA
PA14_08740,rplJ,rplJ
PA14_08760,rpoB,rpoB
PA14_08780,rpoC,rpoC
PA14_08790,rpsL,rpsL
PA14_08810,rpsG,rpsG
PA14_08820,fusA1,fusA1
PA14_08840,rpsJ,rpsJ
PA14_08850,rplC,rplC
PA14_08860,rplD,rplD
PA14_08870,rplW,rplW
PA14_08880,rplB,rplB
PA14_08890,rpsS,rpsS
PA14_08910,rpsC,rpsC
PA14_08920,rplP,rplP
PA14_08940,rpsQ,rpsQ
PA14_08950,rplN,rplN
PA14_08960,rplX,rplX
PA14_08970,rplE,rplE
PA14_08980,rpsN,rpsN
PA14_08990,rpsH,rpsH
PA14_09000,rplF,rplF
PA14_09010,rplR,rplR
PA14_09020,rpsE,rpsE
PA14_09040,rplO,rplO
PA14_09050,secY,secY
PA14_09080,rpsM,rpsM
PA14_09090,rpsK,rpsK
PA14_09100,rpsD,rpsD
PA14_09115,rpoA,rpoA
PA14_09130,rplQ,rplQ
PA14_11090,cupB4,cupB4
PA14_11400,ribD,ribD
PA14_11410,ribC,ribC
PA14_11450,nusB,nusB
PA14_11460,thiL,thiL
PA14_11510,ribA,ribA
PA14_11550,dxs,dxs
PA14_11560,ispA,ispA
PA14_11690,ppa,ppa
PA14_11845,mpl,mpl
PA14_11860,,ubiX
PA14_12010,proA,proA
PA14_12060,pbpA,pbpA
PA14_12070,rodA,rodA
PA14_12120,lipB,lipB
PA14_12130,lis,lis
PA14_12200,holA,holA
PA14_12210,,lptE
PA14_12230,leuS,leuS
PA14_12280,lnt,lnt
PA14_12310,,
PA14_12390,hemL,hemL
PA14_12400,thiE,thiE
PA14_12410,thiD,thiD
PA14_14440,valS,valS
PA14_14500,,lptF
PA14_14510,,lptG
PA14_14630,secD,secD
PA14_14650,secF,secF
PA14_14680,,
PA14_14730,iscS,iscS
PA14_14750,,iscA
PA14_14770,hscB,hscB
PA14_14780,hscA,hscA
PA14_14800,fdx2,fdx2
PA14_14820,ndk,ndk
PA14_14880,ispG,gcpE
PA14_14890,hisS,hisS
PA14_14930,engA,
PA14_15030,leuA,leuA
PA14_15130,,
PA14_15340,guaA,guaA
PA14_15680,,
PA14_15740,purL,purL
PA14_15960,ffh,ffh
PA14_15970,rpsP,rpsP
PA14_15980,rimM,rimM
PA14_15990,trmD,trmD
PA14_16070,hom,hom
