chromosome	left	right	locus_tag	gene_name	strand	feature	completeness	name	offset	type
NC_002516.2	482	2027	control	control	+	gene	complete	23_PA0001_Ctrl_42	42	control
NC_002516.2	482	2027	control	control	+	gene	complete	410_PA0001_Ctrl_2	2	control
NC_002516.2	2055	3159	control	control	+	gene	complete	833_PA0002_Ctrl_56	56	control
NC_002516.2	4274	6695	control	control	+	gene	complete	110_PA0004_Ctrl_62	62	control
NC_002516.2	4274	6695	control	control	+	gene	complete	771_PA0004_Ctrl_120	120	control
NC_002516.2	15206	15473	control	control	+	gene	complete	79_PA0012_Ctrl_99	99	control
NC_002516.2	15619	16273	control	control	+	gene	complete	832_PA0013_Ctrl_128	128	control
NC_002516.2	16334	16607	control	control	-	gene	complete	117_PA0014_Ctrl_25	25	control
NC_002516.2	24000	24558	control	control	+	gene	complete	824_PA0022_Ctrl_65	65	control
NC_002516.2	42913	53521	control	control	+	gene	complete	405_PA0041_Ctrl_1386	1386	control
NC_002516.2	61878	62388	control	control	+	gene	complete	152_PA0047_Ctrl_38	38	control
NC_002516.2	65338	65479	control	control	+	gene	complete	556_PA0050_Ctrl_138	138	control
NC_002516.2	68187	68616	control	control	-	gene	complete	792_PA0052_Ctrl_7	7	control
NC_002516.2	69542	70091	control	control	-	gene	complete	993_PA0054_Ctrl_58	58	control
NC_002516.2	70701	71622	control	control	-	gene	complete	970_PA0056_Ctrl_7	7	control
NC_002516.2	74033	74267	control	control	+	gene	complete	182_PA0060_Ctrl_11	11	control
NC_002516.2	74033	74267	control	control	+	gene	complete	532_PA0060_Ctrl_59	59	control
NC_002516.2	80751	81027	control	control	+	gene	complete	432_PA0068_Ctrl_134	134	control
NC_002516.2	86283	87003	control	control	-	gene	complete	798_PA0073_Ctrl_162	162	control
NC_002516.2	100123	101158	control	control	+	gene	complete	534_PA0082_Ctrl_104	104	control
NC_002516.2	104005	104851	control	control	+	gene	complete	859_PA0086_Ctrl_96	96	control
NC_002516.2	123870	124599	control	control	+	gene	complete	237_PA0102_Ctrl_90	90	control
NC_002516.2	135258	135894	control	control	+	gene	complete	951_PA0114_Ctrl_68	68	control
NC_002516.2	138817	140167	control	control	+	gene	complete	440_PA0119_Ctrl_38	38	control
NC_002516.2	145964	147392	control	control	-	gene	complete	94_PA0129_Ctrl_59	59	control
NC_002516.2	157107	158034	control	control	+	gene	complete	663_PA0138_Ctrl_167	167	control
NC_002516.2	158906	160472	control	control	+	gene	complete	203_PA0140_Ctrl_57	57	control
NC_002516.2	163362	164415	control	control	+	gene	complete	260_PA0143_Ctrl_42	42	control
NC_002516.2	174772	175492	control	control	+	gene	complete	728_PA0153_Ctrl_36	36	control
NC_002516.2	190197	191604	control	control	+	gene	complete	298_PA0166_Ctrl_45	45	control
NC_002516.2	191696	192362	control	control	+	gene	complete	63_PA0167_Ctrl_87	87	control
NC_002516.2	192964	193672	control	control	-	gene	complete	713_PA0169_Ctrl_103	103	control
NC_002516.2	194756	196748	control	control	-	gene	complete	892_PA0172_Ctrl_112	112	control
NC_002516.2	202146	204066	control	control	-	gene	complete	721_PA0178_Ctrl_94	94	control
NC_002516.2	204093	204459	control	control	-	gene	complete	490_PA0179_Ctrl_63	63	control
NC_002516.2	204656	205829	control	control	-	gene	complete	419_PA0180_Ctrl_33	33	control
NC_002516.2	209620	210460	control	control	-	gene	complete	731_PA0184_Ctrl_196	196	control
NC_002516.2	212339	213401	control	control	+	gene	complete	899_PA0186_Ctrl_92	92	control
NC_002516.2	217904	218822	control	control	-	gene	complete	223_PA0191_Ctrl_34	34	control
NC_002516.2	227381	228194	control	control	+	gene	complete	124_PA0197_Ctrl_66	66	control
NC_002516.2	232065	233100	control	control	-	gene	complete	439_PA0203_Ctrl_66	66	control
NC_002516.2	252912	253794	control	control	-	gene	complete	389_PA0223_Ctrl_6	6	control
NC_002516.2	264963	266310	control	control	-	gene	complete	573_PA0235_Ctrl_48	48	control
NC_002516.2	282322	282757	control	control	-	gene	complete	284_PA0250_Ctrl_54	54	control
NC_002516.2	284196	284673	control	control	-	gene	complete	17_PA0253_Ctrl_99	99	control
NC_002516.2	286337	287024	control	control	-	gene	complete	834_PA0255_Ctrl_25	25	control
NC_002516.2	289204	289390	control	control	-	gene	complete	451_PA0258_Ctrl_73	73	control
NC_002516.2	289561	291004	control	control	-	gene	complete	252_PA0259_Ctrl_79	79	control
NC_002516.2	299521	300973	control	control	+	gene	complete	886_PA0265_Ctrl_104	104	control
NC_002516.2	312380	313133	control	control	-	gene	complete	991_PA0278_Ctrl_29	29	control
NC_002516.2	315810	316629	control	control	-	gene	complete	105_PA0282_Ctrl_18	18	control
NC_002516.2	317965	318148	control	control	-	gene	complete	168_PA0284_Ctrl_42	42	control
